pays,dispo_alimentaire,dispo_proteine,production,importations,dispo_interieure,population,croissance_population_5ans,PIB_habitant,stabilite_politique,distance_paris_km,PIB_total
Malte,27.17,12.68,4.0,9.0,14.0,437933,3.822583207091361,28122.28717,1.24,1748.743459790731,12315677587
Maroc,20.96,7.29,762.0,3.0,746.0,35581255,7.037368501800438,3336.528682,-0.38,1814.849910435442,118717877849
Maurice,37.93,13.06,48.0,2.0,49.0,1264499,0.8784288321866663,10591.698261,0.96,9392.327789884288,13393191859
Mauritanie,5.14,1.59,5.0,24.0,22.0,4282570,15.540441191348839,1634.642174,-0.63,3792.7586480070822,7000469535
Mexique,32.52,9.26,3249.0,972.0,4219.0,124777324,6.397973193667436,9693.330262,-0.81,9210.34661662022,1209507810741
Mongolie,2.77,0.95,0.0,10.0,9.0,3113786,10.234297613408584,3708.248167,0.78,7070.628440730268,11546691227
Monténégro,15.98,5.79,4.0,8.0,10.0,627563,0.2616926948116787,7679.175158,-0.06,1493.9888114468695,4819166200
Mozambique,3.59,1.2,92.0,24.0,116.0,28649018,15.229076015345742,464.294722,-0.92,8815.017855249776,13301587848
Myanmar,30.37,9.93,1662.0,3.0,1666.0,53382523,3.8293661938848054,1233.563605,-1.08,8643.849365224582,65850737516
Namibie,11.53,4.25,11.0,29.0,28.0,2402633,9.470184523936991,5450.334422,0.62,8043.999386342624,13095153343
Nicaragua,21.59,6.91,143.0,6.0,138.0,6384846,6.724918537754789,2127.277953,-0.05,8901.58437062324,13582342129
Niger,0.94,0.32,19.0,3.0,21.0,21602382,21.394363988961075,514.543477,-1.26,3919.4254373972713,11115364746
Nigéria,1.01,0.31,201.0,0.0,202.0,190873244,14.13898254866324,1941.873934,-2.0,4435.157378227982,370651777222
Norvège,19.05,7.81,101.0,2.0,102.0,5296326,5.636884789284739,76125.721765,1.15,1343.8727017785277,403186639453
Nouvelle-Zélande,34.79,12.02,223.0,1.0,168.0,4702034,5.2272406336236426,43519.867644,1.56,18979.143667875098,204631897338
Népal,1.99,0.67,58.0,0.0,58.0,27632681,2.3843570102563016,1044.692515,-0.58,7249.359689899151,28867655010
Oman,21.63,7.38,7.0,126.0,114.0,4665928,33.387344701830656,17802.548365,0.75,5603.97051305554,83065408888
Ouganda,1.52,0.51,65.0,0.0,66.0,41166588,19.12075175041286,787.332281,-0.57,6105.891277449056,32411783631
Pakistan,5.86,1.97,1281.0,2.0,1282.0,207906209,11.013490918729557,1558.080077,-2.4,5931.838945510481,323934522127
Panama,33.82,10.34,198.0,20.0,192.0,4106769,8.914779667885385,15687.956548,0.38,8668.252745302918,64426813625
Paraguay,5.99,1.8,45.0,1.0,41.0,6867061,6.9383648370718864,6136.058354,0.0,10134.476444872555,42136687016
Philippines,13.87,4.65,1272.0,249.0,1521.0,105172925,8.188525436963996,3077.434432,-1.19,10757.938779859212,323662780709
Pologne,30.3,12.14,2351.0,55.0,1156.0,37953180,-0.7164142746690014,13615.440435,0.51,1370.5371102705585,516749261609
Portugal,30.58,12.74,361.0,82.0,325.0,10288527,-2.258921171601667,21475.355853,1.11,1453.8300919737735,220949778528
Pérou,13.47,6.71,1465.0,60.0,1523.0,31444298,6.566319587208204,6676.307788,-0.26,10246.355226412916,209931811626
Roumanie,19.37,7.91,392.0,146.0,381.0,19653969,-2.835253387361513,10667.994481,0.05,1875.286148372166,209668432822
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,13.77,1814.0,779.0,2234.0,66727461,3.412845179268552,40568.470503,0.38,343.92312009098924,2707031033319
Rwanda,1.49,0.5,19.0,0.0,19.0,11980961,13.567131417248667,756.546025,0.08,6230.533676714503,9064148420
République centrafricaine,2.29,0.78,7.0,4.0,11.0,4596023,3.597656306351794,414.740323,-1.99,5162.109523978802,1906156064
République de Corée,16.7,5.68,838.0,137.0,854.0,51096415,2.069042706386549,31524.94267,0.38,8988.466721486786,1610811553518
République de Moldova,16.14,5.53,54.0,16.0,66.0,4059684,-0.3956025406496086,2991.474964,-0.31,1981.4159984344244,12144443048
République dominicaine,35.26,10.88,339.0,42.0,375.0,10513104,5.862379663668487,7513.497951,0.15,7193.103712024104,78990185363
République populaire démocratique de Corée,1.62,0.49,43.0,0.0,43.0,25429825,2.5369501478691383,680.534037,-0.5,8793.4769745398,17305861467
République-Unie de Tanzanie,1.88,0.63,105.0,2.0,108.0,54660339,16.167522049058263,972.118866,-0.57,6906.854700535619,53136346764
Saint-Kitts-et-Nevis,55.77,19.22,0.0,4.0,4.0,52045,4.325776254334797,22160.60363,0.63,6759.856203382217,1153348616
Sainte-Lucie,56.69,19.0,1.0,10.0,11.0,180954,2.438775856798342,11276.286475,0.97,6902.86948228508,2040489143
Samoa,64.77,21.88,0.0,17.0,15.0,195352,3.312196901987953,4246.467778,1.16,16083.1587918994,829555973
Sao Tomé-et-Principe,9.47,3.21,1.0,2.0,2.0,207089,9.917517674783975,1819.871902,0.18,5393.6112698823235,376875452
Serbie,10.16,3.5,85.0,12.0,90.0,8829628,-1.2358344911300339,5918.256598,0.08,1448.6412165455515,52256004169
Sierra Leone,3.97,1.24,17.0,14.0,30.0,7488423,11.557978268875296,487.010035,-0.04,4709.421668671229,3646937147
Slovaquie,13.9,4.74,71.0,63.0,74.0,5447900,0.6096339186269562,17584.598912,0.9,1091.5114177993414,95799136413
Slovénie,24.41,8.72,72.0,20.0,52.0,2076394,0.9024585690800425,23155.397106,0.87,966.5866416436886,48079727619
Soudan,1.6,0.54,67.0,2.0,69.0,40813397,12.763556658335492,3000.817257,-1.97,4608.01098553956,122473546034
Sri Lanka,7.78,2.64,192.0,0.0,192.0,21128032,2.899934737928952,4388.201902,-0.08,8518.23674501569,92714070208
Suisse,15.72,6.49,91.0,51.0,133.0,8455804,5.5917998124877935,82255.865969,1.24,435.9312992747501,695539480484
Suriname,31.06,9.27,10.0,18.0,25.0,570496,5.404391726482462,6112.882912,0.12,7183.774105635162,3487375250
Suède,16.6,7.09,157.0,84.0,187.0,9904896,3.794311362311235,53788.877499,0.97,1546.6251086042803,532773237584
Sénégal,4.76,1.61,77.0,0.0,77.0,15419355,15.052710074741126,1385.199669,-0.06,4199.121393201886,21358885442
Tadjikistan,4.45,1.45,2.0,38.0,40.0,8880268,12.767670687703298,844.36525,-0.67,5300.877221762457,7498189710
Tchad,0.45,0.15,6.0,1.0,7.0,15016753,17.458323393105065,884.869685,-1.29,4182.111634830734,13287869497
Tchéquie,21.96,7.5,163.0,116.0,249.0,10641034,0.564590735744677,20759.909712,0.99,885.4597163231557,220906905082
Thaïlande,12.95,4.35,1676.0,2.0,881.0,69209810,2.0252502647489545,6436.79048,-0.75,9455.57320996494,445489046131
